actor_id,first_name,last_name
1,PENELOPE,GUINESS
2,NICK,WAHLBERG
3,ED,CHASE
4,JENNIFER,DAVIS
5,JOHNNY,LOLLOBRIGIDA
6,BETTE,NICHOLSON
7,GRACE,MOSTEL
8,MATTHEW,JOHANSSON
9,JOE,SWANK
10,CHRISTIAN,GABLE
11,ZERO,CAGE
12,KARL,BERRY
13,UMA,WOOD
14,VIVIEN,BERGEN
15,CUBA,OLIVIER
16,FRED,COSTNER
17,HELEN,VOIGHT
18,DAN,TORN
19,BOB,FAWCETT
20,LUCILLE,TRACY
21,KIRSTEN,PALTROW
22,ELVIS,MARX
23,SANDRA,KILMER
24,CAMERON,STREEP
25,KEVIN,BLOOM
26,RIP,CRAWFORD
27,JULIA,MCQUEEN
28,WOODY,HOFFMAN
29,ALEC,WAYNE
30,SANDRA,PECK
31,SISSY,SOBIESKI
32,TIM,HACKMAN
33,MILLA,PECK
34,AUDREY,OLIVIER
35,JUDY,DEAN
36,BURT,DUKAKIS
37,VAL,BOLGER
38,TOM,MCKELLEN
39,GOLDIE,BRODY
40,JOHNNY,CAGE
41,JODIE,DEGENERES
42,TOM,MIRANDA
43,KIRK,JOVOVICH
44,NICK,STALLONE
45,REESE,KILMER
46,PARKER,GOLDBERG
47,JULIA,BARRYMORE
48,FRANCES,DAY-LEWIS
49,ANNE,CRONYN
50,NATALIE,HOPKINS
51,GARY,PHOENIX
52,CARMEN,HUNT
53,MENA,TEMPLE
54,PENELOPE,PINKETT
55,FAY,KILMER
56,DAN,HARRIS
57,JUDE,CRUISE
58,CHRISTIAN,AKROYD
59,DUSTIN,TAUTOU
60,HENRY,BERRY
61,CHRISTIAN,NEESON
62,JAYNE,NEESON
63,CAMERON,WRAY
64,RAY,JOHANSSON
65,ANGELA,HUDSON
66,MARY,TANDY
67,JESSICA,BAILEY
68,RIP,WINSLET
69,KENNETH,PALTROW
70,MICHELLE,MCCONAUGHEY
71,ADAM,GRANT
72,SEAN,WILLIAMS
73,GARY,PENN
74,MILLA,KEITEL
75,BURT,POSEY
76,ANGELINA,ASTAIRE
77,CARY,MCCONAUGHEY
78,GROUCHO,SINATRA
79,MAE,HOFFMAN
80,RALPH,CRUZ
81,SCARLETT,DAMON
82,WOODY,JOLIE
83,BEN,WILLIS
84,JAMES,PITT
85,MINNIE,ZELLWEGER
86,GREG,CHAPLIN
87,SPENCER,PECK
88,KENNETH,PESCI
89,CHARLIZE,DENCH
90,SEAN,GUINESS
91,CHRISTOPHER,BERRY
92,KIRSTEN,AKROYD
93,ELLEN,PRESLEY
94,KENNETH,TORN
95,DARYL,WAHLBERG
96,GENE,WILLIS
97,MEG,HAWKE
98,CHRIS,BRIDGES
99,JIM,MOSTEL
100,SPENCER,DEPP
101,SUSAN,DAVIS
102,WALTER,TORN
103,MATTHEW,LEIGH
104,PENELOPE,CRONYN
105,SIDNEY,CROWE
106,GROUCHO,DUNST
107,GINA,DEGENERES
108,WARREN,NOLTE
109,SYLVESTER,DERN
110,SUSAN,DAVIS
111,CAMERON,ZELLWEGER
112,RUSSELL,BACALL
113,MORGAN,HOPKINS
114,MORGAN,MCDORMAND
115,HARRISON,BALE
116,DAN,STREEP
117,RENEE,TRACY
118,CUBA,ALLEN
119,WARREN,JACKMAN
120,PENELOPE,MONROE
121,LIZA,BERGMAN
122,SALMA,NOLTE
123,JULIANNE,DENCH
124,SCARLETT,BENING
125,ALBERT,NOLTE
126,FRANCES,TOMEI
127,KEVIN,GARLAND
128,CATE,MCQUEEN
129,DARYL,CRAWFORD
130,GRETA,KEITEL
131,JANE,JACKMAN
132,ADAM,HOPPER
133,RICHARD,PENN
134,GENE,HOPKINS
135,RITA,REYNOLDS
136,ED,MANSFIELD
137,MORGAN,WILLIAMS
138,LUCILLE,DEE
139,EWAN,GOODING
140,WHOOPI,HURT
141,CATE,HARRIS
142,JADA,RYDER
143,RIVER,DEAN
144,ANGELA,WITHERSPOON
145,KIM,ALLEN
146,ALBERT,JOHANSSON
147,FAY,WINSLET
148,EMILY,DEE
149,RUSSELL,TEMPLE
150,JAYNE,NOLTE
151,GEOFFREY,HESTON
152,BEN,HARRIS
153,MINNIE,KILMER
154,MERYL,GIBSON
155,IAN,TANDY
156,FAY,WOOD
157,GRETA,MALDEN
158,VIVIEN,BASINGER
159,LAURA,BRODY
160,CHRIS,DEPP
161,HARVEY,HOPE
162,OPRAH,KILMER
163,CHRISTOPHER,WEST
164,HUMPHREY,WILLIS
165,AL,GARLAND
166,NICK,DEGENERES
167,LAURENCE,BULLOCK
168,WILL,WILSON
169,KENNETH,HOFFMAN
170,MENA,HOPPER
171,OLYMPIA,PFEIFFER
172,GROUCHO,WILLIAMS
173,ALAN,DREYFUSS
174,MICHAEL,BENING
175,WILLIAM,HACKMAN
176,JON,CHASE
177,GENE,MCKELLEN
178,LISA,MONROE
179,ED,GUINESS
180,JEFF,SILVERSTONE
181,MATTHEW,CARREY
182,DEBBIE,AKROYD
183,RUSSELL,CLOSE
184,HUMPHREY,GARLAND
185,MICHAEL,BOLGER
186,JULIA,ZELLWEGER
187,RENEE,BALL
188,ROCK,DUKAKIS
189,CUBA,BIRCH
190,AUDREY,BAILEY
191,GREGORY,GOODING
192,JOHN,SUVARI
193,BURT,TEMPLE
194,MERYL,ALLEN
195,JAYNE,SILVERSTONE
196,BELA,WALKEN
197,REESE,WEST
198,MARY,KEITEL
199,JULIA,FAWCETT
200,THORA,TEMPLE
